time_shifted_s,fixed_nlc_velocity_m_s,hinged_llc_velocity_m_s,hinged_nlc_velocity_m_s,hinged_nlc_centre_pressure_over_span,hinged_nlc_reaction_N
-0.1,0,0,0,0.5,-5.124106268e-17
-0.095,7.401486831e-18,-2.135044278e-18,-2.135044278e-18,0.5,-1.592743031e-16
-0.09,1.480297366e-17,-1.32728586e-17,-1.32728586e-17,0.5,-2.361358972e-16
-0.085,2.220446049e-17,-2.181303571e-17,-2.181303571e-17,0.5,-2.049642507e-16
-0.08,2.960594732e-17,-3.035321282e-17,-3.035321282e-17,0.5,-2.049642507e-16
-0.075,3.700743415e-17,-3.889338993e-17,-3.889338993e-17,0.5,-2.049642507e-16
-0.07,4.440892099e-17,-4.743356705e-17,-4.743356705e-17,0.5,-2.049642507e-16
-0.065,5.181040782e-17,-5.597374416e-17,-5.597374416e-17,0.5,-2.049642507e-16
-0.06,5.921189465e-17,-6.451392127e-17,-6.451392127e-17,0.5,-2.049642507e-16
-0.055,6.661338148e-17,-7.305409838e-17,-7.305409838e-17,0.5,-2.049642507e-16
-0.05,7.401486831e-17,-8.15942755e-17,-8.15942755e-17,0.5,-2.049642507e-16
-0.045,8.141635514e-17,-9.013445261e-17,-9.013445261e-17,0.5,-2.113693835e-16
-0.04,8.881784197e-17,-9.920839079e-17,-9.920839079e-17,0.5,-2.177745164e-16
-0.035,9.62193288e-17,-1.08282329e-16,-1.08282329e-16,0.5,-2.199095606e-16
-0.03,1.036208156e-16,-1.175341875e-16,-1.175341875e-16,0.5,-2.199095606e-16
-0.025,1.110223025e-16,-1.266081257e-16,-1.266081257e-16,0.5,-2.199095606e-16
-0.02,1.184237893e-16,-1.358599842e-16,-1.358599842e-16,0.5,-2.199095606e-16
-0.015,1.258252761e-16,-1.449339224e-16,-1.449339224e-16,0.5,-2.220446049e-16
-0.01,1.33226763e-16,-1.543637013e-16,-1.543637013e-16,0.5,-2.199095606e-16
-0.005,1.406282498e-16,-1.632597191e-16,-1.632597191e-16,0.5,-2.199095606e-16
0,1.480297366e-16,-1.72689498e-16,-1.72689498e-16,0.5,0.0001798336543
0.005,0.0003823683407,1.498613786e-05,1.498613786e-05,0.4994964571,0.002564109121
0.01,0.002999071397,0.0002136757601,0.0002136757601,0.4966775321,0.011450026
0.015,0.009892151863,0.0009691549709,0.0009691549709,0.4908320548,0.03051183413
0.02,0.02284175126,0.002756328604,0.002756328604,0.482255443,0.06129449636
0.025,0.04331617974,0.006077029668,0.006077029668,0.4716116064,0.09855557917
0.03,0.07051833766,0.01141155434,0.01096929353,0.4670209076,0.1212191961
0.035,0.09826833766,0.01918572687,0.01617862935,0.4677743035,0.1241857619
0.04,0.1260183377,0.02974778156,0.02131810702,0.468645962,0.1226455543
0.045,0.1537683377,0.04335212316,0.02639909221,0.4689282622,0.1223142094
0.05,0.1815183377,0.06014848567,0.03151095781,0.4684367192,0.1244904041
0.055,0.2092683377,0.08017574944,0.03677329255,0.4670507963,0.1297586423
0.06,0.2370183377,0.1033600237,0.042324178,0.4646609684,0.138537062
0.065,0.2647683377,0.1295167339,0.04831804772,0.4611391561,0.1510968393
0.07,0.2925183377,0.1583564729,0.05491558128,0.4564101077,0.1675425601
0.075,0.3202683377,0.1894943308,0.06227992773,0.4503694785,0.1878762708
0.08,0.3480183377,0.2224623547,0.07057193717,0.4429922582,0.2118074664
0.085,0.3757683377,0.256724707,0.07993054993,0.4342588329,0.2387857173
0.09,0.4035183377,0.2916950219,0.09047074695,0.4242613144,0.2680551467
0.095,0.4312683377,0.3267553928,0.1022684788,0.4131428056,0.2985737731
0.1,0.4590183377,0.3612763766,0.1153518947,0.4011418499,0.3291109972
0.105,0.4867683377,0.3946373682,0.1296943953,0.3885608103,0.35826795
0.11,0.5145183377,0.4262466914,0.1452075572,0.3759242508,0.3845139144
0.115,0.5422683377,0.4555607572,0.1617372214,0.3637997533,0.4062050417
0.12,0.5700183377,0.4821016754,0.1790579773,0.3529377987,0.421533075
0.125,0.5977683377,0.5054727515,0.1968649777,0.3443040692,0.428374879
0.13,0.6255183377,0.5253713731,0.2147558839,0.3391231477,0.4238908451
0.135,0.6525803926,0.5415988683,0.2321892148,0.3392218602,0.4034785166
0.14,0.6689526497,0.5540670232,0.2483790936,0.3480079488,0.3582924551
0.145,0.6724094958,0.5628010451,0.2620469194,0.3718970728,0.2859097412
0.15,0.6645949348,0.5679388794,0.2722049054,0.4039477157,0.2032228832
0.155,0.6474125067,0.5697269002,0.2789821597,0.438649652,0.1259552323
0.16,0.6229701202,0.568512114,0.2827011748,0.472189108,0.05764473662
0.165,0.5935179643,0.5647311265,0.2837858877,0.5008216271,0.0004940951024
0.17,0.5613815154,0.5588962285,0.2827423494,0.5218333252,-0.0437574833
0.175,0.5288918133,0.551579046,0.2801394308,0.5341080023,-0.06247004629
